,Ville,Température,Température Min,Température Max,Température ressentie,Pression,Humidité,Vitesse du vent,Direction du vent,Levé du soleil,Coucher du soleil
0,Paris,280.01,279.23,281.11,276.54,1026,68,5.66,60,2023-04-03 07:24:58,2023-04-03 07:24:58
1,Marseille,289.15,287.14,290.32,288.11,1013,50,2.06,260,2023-04-03 07:17:31,2023-04-03 07:17:31
2,Lyon,280.95,280.25,281.57,277.36,1020,90,6.69,340,2023-04-03 07:17:42,2023-04-03 07:17:42
3,Toulouse,283.98,281.93,284.14,283.26,1022,82,5.66,310,2023-04-03 07:32:58,2023-04-03 07:32:58
4,Nice,291.07,290.04,293.23,290.17,1012,48,2.06,290,2023-04-03 07:09:37,2023-04-03 07:09:37
5,Nantes,280.09,279.92,281.97,278.72,1026,81,2.06,30,2023-04-03 07:41:57,2023-04-03 07:41:57
6,Strasbourg,280.06,278.97,281.61,276.6,1026,57,5.66,60,2023-04-03 07:03:32,2023-04-03 07:03:32
7,Montpellier,288.9,287.42,288.96,287.63,1015,42,7.2,10,2023-04-03 07:23:14,2023-04-03 07:23:14
8,Bordeaux,285.3,285.3,285.56,284.29,1024,66,2.06,10,2023-04-03 07:40:04,2023-04-03 07:40:04
9,Lille,281.42,279.64,282.16,277.96,1029,58,6.69,70,2023-04-03 07:20:15,2023-04-03 07:20:15
10,Rennes,278.27,277.83,278.61,275.4,1027,78,3.6,80,2023-04-03 07:41:38,2023-04-03 07:41:38
11,Reims,280.15,279.96,280.15,276.34,1027,65,6.69,60,2023-04-03 07:17:45,2023-04-03 07:17:45
12,Le Havre,280.66,280.66,281.01,277.17,1028,65,6.17,50,2023-04-03 07:33:11,2023-04-03 07:33:11
13,Saint-Etienne,279.32,278.02,279.32,275.89,1020,93,5.14,350,2023-04-03 07:19:44,2023-04-03 07:19:44
14,Toulon,290.4,289.12,291.94,289.41,1011,47,1.54,290,2023-04-03 07:15:24,2023-04-03 07:15:24
15,Grenoble,281.35,281.23,284.26,281.35,1019,97,0.45,49,2023-04-03 07:14:33,2023-04-03 07:14:33
16,Dijon,277.05,276.95,280.5,273.04,1023,87,5.14,20,2023-04-03 07:15:30,2023-04-03 07:15:30
17,Angers,280.96,280.31,280.97,278.26,1026,74,4.41,55,2023-04-03 07:37:43,2023-04-03 07:37:43
18,Nîmes,287.35,287.0,289.48,286.24,1015,54,9.26,360,2023-04-03 07:21:08,2023-04-03 07:21:08
19,Villeurbanne,281.08,280.29,281.6,277.21,1020,87,7.72,340,2023-04-03 07:17:28,2023-04-03 07:17:28
